sentence1,sentence2,label
什么是电路的过渡过程？,电路的过渡过程是什么？,1
什么是电路的过渡过程？,什么叫电路的过渡过程？,1
什么是电路的过渡过程？,电路产生过渡过程的原因是？,0
什么是电路的过渡过程？,如何产生电路的过渡过程？,0
什么是电路的过渡过程？,电路的过渡过程有什么实际意义？,0
什么是电路的过渡过程？,引起电路过渡过程的条件是什么？,0
什么是电路的过渡过程？,电路过渡过程的定义是什么？,1
什么是电路的过渡过程？,如何定义电路的过渡过程？,1
什么是电路的过渡过程？,如何证明电路的过渡过程？,0
什么是电路的过渡过程？,电路的过渡过程的应用有哪些？,0
什么是换路定律？,换路定律是什么？,1
什么是换路定律？,什么叫换路定律？,1
什么是换路定律？,换路定律产生的原因是？,0
什么是换路定律？,产生换路定律的原因是？,0
什么是换路定律？,换路定律有什么实际意义？,0
什么是换路定律？,引起换路定律的条件是什么？,0
什么是换路定律？,换路定律的定义是什么？,1
什么是换路定律？,如何定义换路定律？,1
什么是换路定律？,如何证明换路定律？,0
什么是换路定律？,换路定律的应用有哪些？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电感两端的电压为什么会变化？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电感两端的电压变化的原因是什么？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL二阶电路的零输入响应中，电感两端的电压如何变化？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零状态响应中，电感两端的电压如何变化？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电阻两端的电压如何变化？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RLC一阶电路的零输入响应中，电感两端的电压如何变化？,0
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电感两端的电压变化规律是什么？,1
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电感两端的电压如何改变？,1
RL一阶电路的零输入响应中，电感两端的电压如何变化？,RL一阶电路的零输入响应中，电感两端的电压变化趋势是什么？,1
RL一阶电路的零输入响应中，电感两端的电压如何变化？,在RL一阶电路的零输入响应的条件下，电感两端的电压如何变化？,1
RL一阶电路的零状态响应，电感两端的电压如何变化？,在RL一阶电路的零状态响应的条件下，电感两端的电压如何变化？,1
RL一阶电路的零状态响应，电感两端的电压如何变化？,如果是RL一阶电路的零状态响应，电感两端的电压如何变化？,1
RL一阶电路的零状态响应，电感两端的电压如何变化？,在RL一阶电路的零状态响应的环境中，电感两端的电压如何变化？,1
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL一阶电路的零状态响应，电感两端的电压如何改变？,1
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL一阶电路的零状态响应，电感两端的电压改变的原因是？,0
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL一阶电路的零状态响应，电感两端的电流如何变化？,0
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL一阶电路的零输入响应，电感两端的电压如何变化？,0
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL二阶电路的零状态响应，电感两端的电压如何变化？,0
RL一阶电路的零状态响应，电感两端的电压如何变化？,RL一阶电路的零状态响应，电阻两端的电压如何变化？,0
RL一阶电路的零状态响应，电感两端的电压如何变化？,RLC一阶电路的零状态响应，电感两端的电压如何变化？,0
二阶电路中，过渡过程的性质取决于什么因素？,一阶电路中，过渡过程的性质取决于什么因素？,0
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，过渡过程的性质取决于什么条件？,1
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，过渡过程取决于什么因素？,1
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，过渡过程的性质由什么因素决定？,1
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，什么因素决定过渡过程的性质？,1
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，过渡过程的性质有什么应用？,0
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，怎样利用过渡过程的性质？,0
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，过渡过程的性质取决于什么原因？,1
二阶电路中，过渡过程的性质取决于什么因素？,二阶电路中，电路的过渡过程的性质取决于什么因素？,1
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统的中线的作用是什么？,1
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，中线有什么作用？,1
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，中线的作用是用来干嘛的？,1
三相四线制供电系统中，中线的作用是什么？,中线在三相四线制供电系统中的作用是？,1
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，中线的有什么用？,1
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，没有中线会怎么样？,0
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，没有中线的影响是？,0
三相四线制供电系统中，中线的作用是什么？,三相四线制供电系统中，中线断路的影响是？,0
三相四线制供电系统中，中线的作用是什么？,二阶电路中，电路的过渡过程的性质取决于什么因素？,0
三相四线制供电系统中，中线的作用是什么？,RL一阶电路的零状态响应，电阻两端的电压如何变化？,0
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电体系中的中线上为什么不得安装保险丝和开关？,1
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电体系中，规定中线上不得安装保险丝和开关的原因是？,1
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电体系中，为什么规定中线上禁止安装保险丝和开关？,1
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电体系中，为什么规定中线上不能够安装保险丝和开关？,1
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电体系中，中线上不得安装保险丝和开关的理由是？,1
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,三相四线制供电系统中，中线的作用是什么？,0
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,二阶电路中，电路的过渡过程的性质取决于什么因素？,0
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,RL一阶电路的零状态响应，电阻两端的电压如何变化？,0
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,什么是电路的有功功率？,0
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,有源元件和无源元件有何区别？,0
什么是电路的有功功率？,电路的有功功率是什么？,1
什么是电路的有功功率？,如何定义电路的有功功率？,1
什么是电路的有功功率？,电路的有功功率的定义是？,1
什么是电路的有功功率？,什么叫电路的有功功率？,1
什么是电路的有功功率？,电路的有功功率应该如何定义？,1
什么是电路的有功功率？,电路的有功功率有什么用？,0
什么是电路的有功功率？,电路的有功功率的应用是？,0
什么是电路的有功功率？,如何利用电路的有功功率？,0
什么是电路的有功功率？,电路的有功功率的实际用途有？,0
什么是电路的有功功率？,什么是支路？,0
什么是支路？,支路是什么？,1
什么是支路？,支路的定义是？,1
什么是支路？,怎么定义支路？,1
什么是支路？,什么叫支路？,1
什么是支路？,支路应该如何定义？,1
什么是支路？,支路有什么用？,0
什么是支路？,支路的实际用途有？,0
什么是支路？,电路中的支路b，节点数n与独立回路l有什么关系？,0
什么是支路？,有源元件和无源元件有何区别？,0
什么是支路？,什么是超网孔？,0
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的支路b，节点数n与独立回路l的关系是？,1
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的支路b，节点数n与独立回路l它们之间的联系是？,1
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的支路b，节点数n与独立回路l的关联是？,1
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的支路b，节点数n与独立回路l有什么相互关系？,1
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的支路b，节点数n与独立回路l有什么数学关系？,1
电路中的支路b，节点数n与独立回路l有什么关系？,电路中的主路b，节点数n与独立回路l有什么关系？,0
电路中的支路b，节点数n与独立回路l有什么关系？,什么是支路？,0
电路中的支路b，节点数n与独立回路l有什么关系？,什么是线性电路？,0
电路中的支路b，节点数n与独立回路l有什么关系？,什么是电路的时间常数？,0
电路中的支路b，节点数n与独立回路l有什么关系？,什么是自然响应？,0
有源元件和无源元件有何区别？,有源元件和无源元件有何不同？,1
有源元件和无源元件有何区别？,有源元件和无源元件有什么区别？,1
有源元件和无源元件有何区别？,有源元件和无源元件有什么不同？,1
有源元件和无源元件有何区别？,有源元件和无源元件的区别是什么？,1
有源元件和无源元件有何区别？,有源元件和无源元件的不同点在于哪里？,1
有源元件和无源元件有何区别？,有源元件和无源元件有何相同？,0
有源元件和无源元件有何区别？,什么是超节点？,0
有源元件和无源元件有何区别？,电感上的电流是否会发生突变?,0
有源元件和无源元件有何区别？,什么是电路的时间常数？,0
有源元件和无源元件有何区别？,RLC电路的自然响应是过阻尼，欠阻尼还是临界阻尼取决于什么？,0
有源元件和无源元件有何区别？,什么是平均功率？,0
什么是超节点？,超节点是什么？,1
什么是超节点？,怎么定义超节点？,1
什么是超节点？,超节点的定义是什么？,1
什么是超节点？,超节点是怎样定义的？,1
什么是超节点？,如何定义超节点？,1
